Year of enrolment,ID,CS101,CS102,MA101,MA112,MA121,GS101,GS102,PH101,PH102,PH103,PH104,ST111,ST112,ST121,ST122,ST132,CS201,CS202,CS203,CS204,MA201,MA202,MA211,MA212,MA272,GS202,GS203,OR201,OR202,ST203,ST204,ST211,CS301,CS302,CS303,CS304,CS305,CS306,CS307,CS308,CS309,CS311,CS312,CS314,MA307,MA308,MA381,MA382,MA392,CS497,CS501,CS502,CS503,CS504,CS505,CS506,CS507,CS508,CS509,CS510,CS512,CS597,CS598,MA419,SW499,MM507
,ST65,45,40,40,NA,48,40,68,41,55,44,46,47,46,46,40,40,42,50,72,41,40,41,40,40,40,51,50,40,41,42,41,41,49,60,84,41,68,62,43,60,41,40,42,57,40,45,40,40,57,72,46,46,40,64,40,40,50,59,62,50,40,58,63,40,60,NA
,ST66,52,43,53,NA,40,78,82,44,53,40,56,43,43,55,63,50,75,47,69,57,50,50,63,40,40,64,48,63,43,71,40,40,41,74,41,56,53,49,65,53,45,52,58,66,43,43,40,50,57,78,63,58,46,51,57,49,49,43,55,60,41,62,60,52,68,NA
,ST67,66,70,42,41,40,89,45,40,40,46,40,40,45,47,43,51,73,80,46,57,46,40,43,40,48,50,45,65,41,50,51,41,74,51,57,58,55,50,56,54,60,62,52,64,40,41,42,40,45,74,51,58,40,51,52,40,41,63,55,52,42,55,57,48,65,NA
,ST68,60,79,74,62,59,74,64,72,57,66,88,76,59,86,62,43,61,90,63,75,65,53,50,44,60,68,54,85,58,97,86,65,89,65,80,71,75,76,67,66,70,71,65,71,75,63,64,76,67,73,58,65,72,77,68,70,70,63,63,65,61,58,67,56,71,NA
,ST69,58,74,44,55,46,86,55,53,47,50,52,58,55,68,48,75,43,50,47,71,41,60,40,41,53,58,43,59,61,66,53,40,67,61,60,50,50,64,55,44,57,41,45,51,41,41,40,52,44,68,46,61,40,43,57,60,50,55,46,57,43,53,70,56,56,NA
,ST70,68,56,43,41,40,42,43,48,43,40,49,49,40,58,40,68,43,40,66,47,44,41,40,57,44,69,51,48,45,58,48,42,61,47,50,49,42,59,52,43,40,50,49,58,51,52,43,40,52,69,50,50,41,77,45,40,54,59,50,55,42,65,63,40,59,NA
,ST71,53,63,48,65,40,41,56,40,42,60,46,41,49,46,41,64,40,63,57,61,55,47,47,71,45,54,52,61,40,64,50,54,74,49,61,57,64,60,52,60,40,55,41,59,43,55,47,42,68,66,41,54,54,76,68,50,46,53,45,54,50,55,62,50,59,NA
,ST72,40,62,42,41,44,84,45,41,40,52,55,57,43,47,40,40,40,43,54,43,40,40,40,58,40,56,41,40,40,40,40,40,59,48,42,43,52,44,65,60,41,53,45,50,41,52,42,41,62,74,43,65,45,45,40,43,41,56,40,54,42,53,61,40,57,NA
,ST73,63,62,41,67,40,67,47,41,40,46,40,46,40,40,40,40,41,73,40,42,50,50,40,60,42,57,42,58,44,40,41,40,53,42,53,48,45,51,40,59,40,48,49,57,55,47,40,43,47,79,63,51,40,54,52,40,60,65,46,49,41,61,58,56,69,74
,ST74,55,67,51,71,40,41,75,55,40,40,53,66,57,47,42,62,45,67,43,51,53,51,40,50,55,40,41,54,40,52,40,55,62,52,48,50,61,40,45,47,60,46,45,63,40,64,40,40,50,70,46,66,43,45,50,47,40,60,47,43,40,54,63,49,55,40
2009-2010,ST75,54,56,40,NA,40,70,45,41,40,40,41,47,40,40,40,40,41,63,40,63,41,40,40,42,40,52,41,43,48,47,40,40,40,63,66,45,45,44,44,54,40,40,41,40,41,42,46,58,52,62,40,41,49,43,51,52,44,59,40,67,45,62,60,40,62,55
,ST76,57,50,77,60,50,52,49,55,49,48,58,68,44,50,50,74,63,49,61,44,70,40,67,77,55,64,41,75,48,87,64,60,55,80,76,47,68,44,51,60,62,77,60,56,48,50,53,60,45,68,40,42,52,47,53,40,59,54,55,44,43,56,61,40,68,65
,ST77,50,60,48,40,50,48,47,41,71,48,46,40,40,52,40,40,59,63,41,53,41,57,41,58,49,60,52,40,40,48,50,61,45,72,57,40,51,40,41,40,59,54,51,54,41,40,46,50,45,54,40,52,43,63,54,43,42,48,51,44,50,56,65,67,44,55
,ST78,49,50,48,40,42,48,40,48,60,46,45,43,40,40,40,41,58,45,40,72,61,54,40,40,40,57,40,48,51,54,40,40,43,49,46,48,44,40,50,62,40,40,42,58,52,60,40,50,71,63,40,67,54,40,53,48,54,59,40,65,53,65,60,40,58,51
,ST79,40,50,40,40,40,45,40,40,43,42,54,48,40,49,40,47,48,51,40,41,47,46,54,40,58,56,40,49,47,53,40,50,40,61,40,40,61,40,43,52,46,40,40,50,41,63,52,45,51,48,40,77,40,43,40,40,44,40,40,40,62,62,61,50,47,53
,ST80,50,70,60,40,58,72,58,60,55,50,45,40,45,45,40,58,45,73,45,60,71,63,60,40,50,54,53,45,41,40,51,50,50,62,40,63,40,51,59,55,51,54,45,56,40,60,50,43,74,67,45,78,40,40,58,61,55,63,45,56,51,72,66,43,67,50
,ST81,49,47,40,40,43,50,57,45,47,40,43,45,41,40,40,40,50,41,42,49,40,40,46,51,44,49,41,40,40,41,40,51,40,50,61,54,40,40,40,55,40,40,40,58,43,43,40,40,71,53,40,52,46,40,53,45,49,60,40,71,56,67,64,50,54,58
,ST82,47,40,57,43,56,45,54,48,63,55,53,40,45,40,56,42,40,51,40,50,40,45,40,40,64,59,45,41,40,50,54,40,48,58,40,45,81,43,43,56,40,64,42,55,41,40,50,62,55,63,41,61,51,42,57,57,49,60,40,69,57,67,62,52,60,52
,ST83,59,48,40,50,52,48,56,69,50,48,54,40,40,55,40,58,46,40,40,68,44,40,51,54,44,59,46,40,60,51,55,40,44,80,52,48,67,57,41,54,63,51,40,56,40,41,60,60,60,66,46,68,57,44,49,62,55,70,40,68,59,68,74,54,66,47
,ST84,67,46,40,40,43,52,42,62,40,53,48,40,40,40,40,40,45,50,40,50,40,40,57,42,40,61,51,40,41,41,60,40,46,56,51,43,73,40,40,46,46,61,42,56,50,42,54,41,46,69,40,45,40,40,40,51,42,65,40,64,62,77,75,47,69,61
,ST85,47,41,43,54,47,54,50,40,40,51,42,45,40,49,40,41,40,66,46,40,46,40,41,40,52,58,62,42,52,41,40,40,42,50,46,51,68,47,49,52,43,45,54,58,42,40,40,50,46,57,50,52,40,47,50,58,55,65,45,74,58,57,56,51,57,40
,ST86,71,53,40,50,52,73,56,54,40,44,50,40,72,43,40,42,56,60,40,68,45,44,40,40,41,61,60,50,40,54,45,40,45,81,55,45,78,50,54,58,55,67,61,58,41,41,40,54,46,67,61,68,53,48,58,65,45,59,50,78,71,70,64,52,67,55
,ST87,40,48,63,50,40,62,58,50,40,40,53,40,40,45,40,41,52,47,40,77,45,43,42,40,65,59,64,40,73,40,48,40,53,78,61,60,69,52,52,40,40,58,58,51,56,60,62,42,46,62,46,68,44,51,51,41,44,64,43,74,59,64,60,47,62,52
,ST88,54,50,50,40,40,58,53,41,56,40,56,40,54,40,40,40,68,54,42,63,50,40,40,40,42,58,52,68,60,60,40,40,48,58,49,50,69,50,49,58,51,49,50,58,47,50,41,46,44,63,46,72,50,61,53,62,49,62,40,62,52,53,77,47,69,50
,ST89,61,57,46,40,40,43,56,52,42,54,61,44,59,54,40,51,41,75,42,54,50,40,40,44,51,65,40,55,61,75,43,40,46,63,56,51,77,42,40,58,46,58,52,50,40,60,70,65,57,88,40,64,51,51,55,70,44,72,42,71,76,70,67,66,85,40
2010-2011,ST90,40,44,40,NA,40,48,51,40,56,40,44,40,40,40,40,40,53,61,56,46,40,40,49,40,40,48,40,44,40,46,40,40,52,60,41,63,40,42,60,42,40,48,44,62,41,45,44,41,42,63,40,47,40,67,50,40,43,59,45,42,41,50,72,40,56,NA
,ST91,54,56,40,NA,40,70,45,41,40,40,41,47,40,40,40,40,41,63,40,63,41,40,40,42,40,52,41,43,48,47,40,40,40,63,66,45,45,44,44,54,40,40,41,40,41,42,46,58,52,62,40,41,49,43,51,52,44,59,40,67,45,62,60,40,62,55
,ST92,46,46,40,40,50,53,48,41,44,50,40,49,40,40,40,40,45,50,41,46,41,60,41,40,63,55,41,62,52,58,48,40,43,61,46,46,68,55,40,40,40,43,40,66,44,60,60,50,45,68,40,66,54,51,41,55,45,60,46,63,61,69,76,45,68,52
,ST93,57,50,77,60,50,52,49,55,49,48,58,68,44,50,50,74,63,49,61,44,70,40,67,77,55,64,41,75,48,87,64,60,55,80,76,47,68,44,51,60,62,77,60,56,48,50,53,60,45,68,40,42,52,47,53,40,59,54,55,44,43,56,61,40,68,65
